type,k,risk_mean,risk_lo,risk_hi,flip_mean,flip_lo,flip_hi
BOE,-6,0.1756901495894198,0.15819841529612214,0.18083446684207136,0.031007751937984496,0.02635658914728682,0.04806201550387597
BOE,-5,0.18287894467632884,0.15743126986715678,0.18006432904562866,0.027906976744186046,0.02635658914728682,0.04961240310077519
BOE,-4,0.19549597976326202,0.1564709575337012,0.17871307575396728,0.05271317829457364,0.024806201550387597,0.04806201550387597
BOE,-3,0.1814444989186943,0.15794813617334474,0.17966640189287353,0.06046511627906977,0.024806201550387597,0.04806201550387597
BOE,-2,0.1685067448774209,0.15838596812649722,0.18079443873459292,0.037209302325581395,0.024806201550387597,0.05116279069767442
BOE,-1,0.16699365809036446,0.15871044934707448,0.18027538857186717,0.03255813953488372,0.02635658914728682,0.04961240310077519
BOE,0,0.16758022087245816,0.15780880783771692,0.18047753840890066,0.037209302325581395,0.024806201550387597,0.04961240310077519
BOE,1,0.17249667880797184,0.15777255914741126,0.1800227229716942,0.04496124031007752,0.024806201550387597,0.04961240310077519
BOE,2,0.1871078315768057,0.1574289870978781,0.1792405210971812,0.04186046511627907,0.024806201550387597,0.04806201550387597
BOE,3,0.18076433996884103,0.15799080691932355,0.18023806299008574,0.034108527131782945,0.02635658914728682,0.04961240310077519
BOE,4,0.17734835314956582,0.15737727922165007,0.18054368541387442,0.03565891472868217,0.024806201550387597,0.05116279069767442
BOE,5,0.18028509296101042,0.15737423909293838,0.1797532757323932,0.04806201550387597,0.023255813953488372,0.04806201550387597
BOE,6,0.17192566366260173,0.15821987173347463,0.18078744494659746,0.04186046511627907,0.024806201550387597,0.04806201550387597
BOE,7,0.17109630776612986,0.15783471441024705,0.1804391801313814,0.03255813953488372,0.024806201550387597,0.04961240310077519
BOE,8,0.16966057443988147,0.15741234236232776,0.17912705861890785,0.020155038759689922,0.02635658914728682,0.04961240310077519
